YEAR,SPFI,,WIN/SPR,JUN OUT,JUN IN,JUL OUT,JUL IN,FALL
1979,0.702139734,,1.197512832,1.024744775,0.606569181,0.630302156,0.357539721,0.67198837
1980,1.204977144,,0.623685434,0.899505486,1.482720605,1.087245031,1.764952282,1.601676543
1981,1.092883122,,1.178801734,1.075749739,0.910710215,1.282452813,0.877507997,0.726335087
1982,0.79619661,,0.991079417,0.846034891,1.114163373,1.388775321,0.918548383,0.001365174
1983,1.0137743,,1.029594769,0.597586108,0.768855479,1.952356076,0.995877137,0.484707381
1984,0.1400863,,0.385032199,0.927907134,1.067115824,1.206057204,0.247567164,0.013670188
1985,0.691254463,,0.42880885,0.560989672,0.852271731,1.608824603,0.704850207,0.193485098
1986,0.490808671,,0.427935648,0.150530439,0.432927193,1.585476501,0.564166332,0.812266786
1987,0.456547146,,0.587678549,0.165710485,0.532359625,1.440154627,1.141320652,0
1988,0.494574013,,1.218288583,0.002494522,0.138273583,1.410095354,1.193149624,0.000526878
1989,0.485464401,,0.787355346,0.179337389,0.429581172,1.118301972,0.479349612,0.000118594
1990,0.733224419,,0.58929522,0.106797206,0.933470992,2.48059777,1.103974138,0.159654318
1991,0.594786163,,1.24764243,0.198811617,0.915955815,1.687014989,0.528448619,0.000550142
1992,0.351933242,,1.008436376,0.060675882,0.484192071,0.754980512,0.199888768,0.054539381
1993,0.463851918,,0.724801311,0.020194778,0.270719191,1.028228556,0.247911818,0.529764275
1994,0.368642102,,0.651450654,0.030993239,0.044016806,0.929010563,0.148090767,0.27529679
1995,0.375637527,,0.41298469,0.038442594,0.168082384,1.207332623,0.812328926,0.266333132
1996,0.350495461,,0.476473273,0.074140959,0.496515106,1.094066482,0.376380627,0.117356895
1997,0.606700038,,0.537973524,0.127171882,0.524912281,1.707580763,0.074690231,0.819691881
1998,0.441766658,,0.710603108,0.043081559,0.182986499,1.090470666,0.403865465,0.59439091
1999,0.568075727,,0.777548202,0.090993114,0.248821299,1.514124106,0.131415471,0.340721705
2000,0.527086757,,0.966669449,0.077034637,0.103016192,1.277247774,0.090671566,1.001528494
2001,0.348655597,,0.555957781,0.059844222,0.140685351,1.068843753,0.049629663,0.375039328
2002,0.533870276,,0.708946115,0.05557786,0.122378009,1.980230357,0.15479925,0.600332465
2003,0.463841743,,1.077071364,0.065702197,0.139720889,1.504611247,0.29743956,0.290653585
2004,0.395220484,,0.754941114,0.06481044,0.146158997,1.473262088,0.269515714,0.332798879
2005,0.496701196,,0.689422558,0.10776085,0.217117463,1.279173238,0.442225884,0.727547274
2006,0.593926779,,1.189348869,0.098827375,0.631253895,1.50354866,0.121354616,0.718934748
2007,0.628230967,,1.02130702,0.118705057,0.83785942,2.158587899,0.211261502,0.323247767
2008,0.342464537,,0.703809315,0.060076981,0.681103639,1.10641222,0.052058493,0.285990448
2009,0.512656001,,0.732060941,0.127072688,0.321878352,1.43536989,0.139903344,0.456112929
2010,0.347934041,,1.026478988,0.04573799,0.274965273,0.826160683,0.059683156,0.477524029
2011,0.397367746,,0.9395787,0.041543424,0.261711409,1.424089331,0.183817385,0.289773682
2012,0.611951676,,1.477788446,0.08907754,0.20569728,0.941250236,0.096375701,1.128370136
2013,0.349317424,,0.65846152,0.08800834,0.505189494,1.219509823,0.116398686,0
2014,0.51691845,,1.249077938,0.079537119,0.483309824,1.568281815,0.123593463,0.37865158
2015,0.505611848,,1.100574771,0.08944752,1.234784404,1.579773697,0.433099486,0
